analysis_category,month,total_cves,unique_cves
MONTHLY_TREND,2025-11,25,0
MONTHLY_TREND,2025-10,36,0
MONTHLY_TREND,2025-09,71,0
MONTHLY_TREND,2025-08,76,0
MONTHLY_TREND,2025-07,95,0
MONTHLY_TREND,2025-06,108,0
MONTHLY_TREND,2025-05,380,0
MONTHLY_TREND,2025-04,223,0
MONTHLY_TREND,2025-03,884,0
MONTHLY_TREND,2025-02,841,0
MONTHLY_TREND,2025-01,1754,0
MONTHLY_TREND,2024-12,2768,0
MONTHLY_TREND,2024-11,3273,0
MONTHLY_TREND,2024-10,2911,0
MONTHLY_TREND,2024-09,2103,0
MONTHLY_TREND,2024-08,2255,0
MONTHLY_TREND,2024-07,2519,0
MONTHLY_TREND,2024-06,2466,0
MONTHLY_TREND,2024-05,3141,0
MONTHLY_TREND,2024-04,2718,0
MONTHLY_TREND,2024-03,2261,0
MONTHLY_TREND,2024-02,1409,0
MONTHLY_TREND,2024-01,1025,0
MONTHLY_TREND,null,1,0
